,committee,date,congress,page
874,"emte on HR bill to augment salaries of district judges of MA, NY,
DE, MD",1801-02-28,6,11
875,Cmte on TJ’s inaugural,1801-02-28,6,11
876,Cmte on HR bill supplement to act concerning DC,1801-03-02,6,11
877,"emte on HR bill altering times & places of holding certain
courts",1801-03-02,6,11
878,cmte on HR bill to amend bankruptcy law,1801-03-02,6,11
879,"Cmte on HR bill to authorize remission of duties on certain teas
destroyed by fire",1801-03-02,6,11
880,,1801-03-02,6,11
881,"Cmte on HR Bill to authorize Sec of T to employ clerks to copy
certain abstracts for valuation of lands & dwelling houses",1801-03-02,6,12
882,"emte on HR bill fixing compensation of receivers of public monies
for lands",1801-03-02,6,12
883,emte on HR bill to est general stamp office,1801-03-03,6,12
884,emte on HR bill to authorize discharge of Lawrence Elb,1801-03-03,6,12
885,"emte on HR bill to amend act est temporary & permanent seat of
govt",1801-03-03,6,12
886,cmte to wait on PUS,1801-03-02,6,12
887,"Cmte to wait on PUS, ready to receive message",1801-03-05,6,12
888,"Cmte to wait on PUS, adjournment",1801-03-05,6,12
889,Cmte on nomination of William S,1800-12-10,6,12
890,"Cmte to procure translation of journal of late envoys
extraordinary and ministers plenipotentiary of US to France",1800-12-19,6,12
891,Cmte on nomination of Arthur St,1800-12-30,6,12
892,"cmte to reduce votes on French convention into form of a
ratification",1801-01-15,6,12
893,"Cmte on HR bill, supplementary to law for valuation of lands,
dwelling houses & enumeration of slaves",1799-12-23,6,2
894,emte on petition of Thomas Burling & others,1799-12-24,6,2
895,cmte on HR bill extending franking privilege to WHH,1799-12-24,6,2
896,emte on petition of Peter Auxpoix,1799-12-24,6,2
897,"Cmte on petition of Elijah Brainard, invalid pension",1799-12-31,6,2
898,"emte on HR bill providing for enumeration of inhabitants
[Census]",1800-01-01,6,2
899,"emte on HR amendments to bill for relief of persons imprisoned
for debt",1800-01-01,6,2
900,Cmte on HR bill providing for salvage in cases of re-capture,1800-01-02,6,2
901,"emte on petition of Richard Butler, r",1800-01-07,6,2
902,Cmte on HR bill for preserving peace with Indian tribes,1800-01-08,6,2
903,cmte on HR bill for relief of John Vaughan,1800-01-09,6,2
904,cmte on petition of Keziah Underwood,1800-01-09,6,2
905,"Cmte on HR bill to repeal part of law providing for mitigating or
remitting forfeitures, penalties, etc",1800-01-10,6,2
906,"Cmte to consider what compensation should be made to members of

R and Senate in addition to what presently allowed by law &
report bill",1800-01-15,6,2
907,,1800-01-22,6,2
908,"Cmte to consider whether any provisions necessary for deciding
disputed elections of PUS & VP & for determining legality of

votes",1800-01-24,6,3
909,emte on Abraham and John Franklin’s petition,1800-01-27,6,3
910,"Cmte on Pinckney’s bill to establish uniform mode of drawing
juries by lot in US Courts",1800-02-03,6,3
911,cmte on HR bill to discharge Robert Sturgeon from imprisonment,1800-02-03,6,3
912,"cmte>

ay Cmte on petition of Lyon Lehman",1800-02-04,6,3
913,"cmte of Watson, Goodhue, Langdon",1800-02-07,6,3
914,\emte on HR bill for United Brethren,1800-02-10,6,3
915,Cmte on HR bill declaring consent to acts of MD & GA,1800-02-11,6,3
916,emte on HR bill for relief of James Yard,1800-02-11,6,3
917,"cmte on PUS’s message of Jan 8 together with Sec of T’s report on
mint",1800-02-12,6,3
918,"Cmte to consider whether any compensation ought to be granted to
John Heckwelder for service during Rev War",1800-02-12,6,3
919,emte on Tracy’s bill for relief of Ithamar Canfield,1800-02-17,6,3
920,"cmte on Treasury Dept (signed James M’Henry, Oliver Wolcott, John
Steele) on claim of Seth Harding",1800-02-18,6,3
925,Cmte on petition of Shadack Inman,1800-02-18,6,4
926,"cmte on HR bill to extend time of payment of bonds given for
duties of impost in certain cases",1800-02-19,6,4
927,"Cmte on HR bill to further suspend commercial intercourse b/w US
& France",1800-02-22,6,4
928,cmte on Hr bill to establish uniform system of bankruptcy,1800-02-22,6,4
929,"cmte

cmte on HR amendments to Senate amendments to bill providing for
salvage in cases of re-capture",1800-02-24,6,4
930,cmte of Conference on bill for United Brethren,1800-02-25,6,4
931,Cmte of privileges [i,1800-02-26,6,4
932,"emte on memorial of Phila board of health, quarantine laws",1800-02-27,6,4
933,"cmte on HR bill to continue law for US fisheries, etc",1800-02-27,6,4
934,Cmte on HR bill to regulate collection of duties on imports & tonnage [New Orleans],1800-02-27,6,4
935,"cmte on Marshall's resolution [Feb 26], re NC cession & expediency of making provision for disposition thereof",1800-02-28,6,4
936,cmte on HR bill to establish general stamp office,1800-03-04,6,4
937,Cmte on HR bill for relief of Thomas Arnold,1800-03-06,6,4
938,cmte on Senate bill for Lyon Lehman,1800-03-06,6,4
939,"cmte on petition of Robinson & Harthorne & others, export of
gunpowder",1800-03-11,6,4
940,"cmte
March 28, 1800",1800-03-28,6,4
941,emte on expiring laws,1800-03-11,6,4
942,"cmte to enquire what amendments necessary to act to establish
judicial courts, esp summoning jurors",1800-03-12,6,5
943,Cmte on HR bill to alter & establish sundry post roads,1800-03-12,6,5
944,cmte revived & instructed to bring supplementary bill,1800-03-12,6,5
945,"Cmte on return from Sec of T, r",1800-03-13,6,5
946,Cmte on HR bill for relief of Campbell Smith,1800-03-14,6,5
947,mte on HR bill to alt mtg times of NC district court,1800-03-17,6,5
948,"Cmte on HR bill to prevent interference of any military force in
certain elections",1800-03-17,6,5
949,emte on memorial of Paul M’Dermot,1800-03-17,6,5
950,"Cmte of Conference on bill to allow drawbacks of duties on goods
exported from New Orleans mentioned in law to regulate collected
of duties on imports & tonnage",1800-03-18,6,5
951,"Cmte on HR bill to fix compensation for paymaster general &
assistants to Adjunct-general",1800-03-21,6,5
952,"gmte on HR bill to extend privilege of obtaining patents to
certain persons",1800-03-21,6,5
953,Cmte on HR bill supplement to law GA limits,1800-03-21,6,5
954,Cmte in HR bill to enable PUS to borrow $,1800-03-21,6,5
955,Cmte on HR bill for relief of John Collet,1800-03-27,6,5
956,"cmte on HR bill supplement law to regulate trade & intercourse
with Indians",1800-03-27,6,5
957,emte on HR bill for relief of RI college,1800-03-28,6,5
958,Cmte on HR bill to alter form of certain oaths for census,1800-03-28,6,5
960,Cmte on HR bill to divide territory nw of OH into 2 govts,1800-04-01,6,6
961,"cmte on HR bill fixing rank & pay of commanding officer of
marines",1800-04-01,6,6
962,"cmte
revived and bill recommitted to them",1800-04-02,6,6
963,"Cmte to examine mint establishment & report any needed reforms &
if proper to move mint to Washington, with liberty to report
bill",1800-04-03,6,6
964,"Cmte on HR bill to amend law providing for sale of lands in nw
territory",1800-04-07,6,6
965,emte on bill for better govt of navy,1800-04-07,6,6
966,emte on Mason’s bill to suspend part of law to augment army,1800-04-08,6,6
967,emte on HR bill for defense of merchant vessels,1800-04-08,6,6
968,cmte on HR bill for removal & accommodation of govt,1800-04-08,6,6
969,"Cmte on HR bill to repeal law for laying duties on mills and
implements used in manufacture of snuff",1800-04-08,6,6
970,\emte of conference on bill to establish general stamp office,1800-04-10,6,6
971,emte on petition of Benjamin G,1800-04-14,6,6
972,Cmte on HR bill CT cession of western reserve,1800-04-15,6,6
973,"emte on HR bill re-building, erection of lighthouses",1800-04-15,6,6
974,"Cmte on HR bill to authorize sale & conveyance of lands by
marshals",1800-04-15,6,6
975,\emte on HR bills making appropriations for 1800 & navy,1800-04-16,6,6
976,"emte on HR bill in addition to act for punishment of certain
crimes",1800-04-16,6,6
978,"emte to whom recommitted HR bill to fix compensation for
paymaster general",1800-04-16,6,7
979,Cmte on HR bill for regulation of arsenals & magazines,1800-04-17,6,7
980,"cmte on HR bill supplementary to laws fixing compensation of
Nofficers of HR & Senate",1800-04-18,6,7
981,Cmte on HR bill laying additional duty on salt,1800-04-22,6,7
982,cmte on HR bill for equalizing valuations of unseated lands,1800-04-24,6,7
983,Cmte on HR bill to establish district of Kennebunk,1800-04-24,6,7
984,"cmte revived & bill

recommitted",1800-04-28,6,7
985,"emte of conference on bill, r",1800-04-28,6,7
986,emte on HR amendments to bill for settlement of GA limits,1800-04-28,6,7
987,"cmte
appointed",1800-04-28,6,7
988,Jt cmte on public library,1800-04-28,6,7
989,Cmte on HR bill authorizing a credit to William Tazewell,1800-04-28,6,7
990,"cmte on HR bill directing payment of militia under Major Thomas
Johnson in 1794",1800-04-28,6,7
991,Cmte on HR to authorize issuance of patents,1800-04-29,6,7
992,"cmte report, cmte revived, bill

recommitted",1800-04-29,6,7
993,emte of conference on bill to divide NW territory into 2 govts,1800-04-30,6,7
996,emte of conference on bill GA limits,1800-05-01,6,8
997,"Cmte on HR amendments to bill for deciding disputed elections of
US & VP",1800-05-02,6,8
998,"emte to inquire expediency of bill for next mtg of Congress in
Washington & whether it will not be advisable to meet earlier",1800-05-03,6,8
999,emte on HR bill to enlarge powers of surveyors of revenue,1800-05-06,6,8
1000,\emte on HR bill to ascertain compensation of public ministers,1800-05-06,6,8
1001,Cmte on HR bill making appropriations for Indian treaties,1800-05-06,6,8
1002,"Cmte on HR bill, re lands granted to inhabitants of Vincennes &
IL company",1800-05-06,6,8
1003,"cmte on HR bill making provision for the children of Col John
Harding & Major Alexander Trueman",1800-05-09,6,8
1004,Cmte on HR bill laying additional duties on certain articles,1800-05-09,6,8
1005,"cmte on HR bill to establish compensation of officers employed in
collecting duties on impost and tonnage",1800-05-09,6,8
1006,cmte on HR bill to permit bringing of slaves into MS territory,1800-05-09,6,8
1007,\emte on HR bill establishing Indian trading houses,1800-05-10,6,8
1008,"Cmte of conference on bill to enlarge powers of surveyors of
revenue",1800-05-10,6,8
1009,"Cmte on HR amendments to bill to suspend act for augmentation of
army",1800-05-12,6,8
1010,"Cmte on resolution, re laws of MS territory",1800-05-12,6,8
1011,"emte of conference on bill, re mint",1800-05-12,6,8
1012,"emte on HR bill regulating land grants for refugees from Canada
and Nova Scotia",1800-05-12,6,8
1013,emte to wait on PUS,1800-05-14,6,8
1014,cmte on treaty with Prussia,1799-12-09,6,9
1015,emte to wait on PUS,1800-11-21,6,9
1016,Cmte to prepare reply to PUS,1800-11-22,6,9
1017,Cmte to wait on PUS to see when should deliver reply,1800-11-25,6,9
1018,"cmte on HR bill to extend franking privilege to delegate from
territory nw of OH river",1800-12-03,6,9
1019,"Cmte on part of PUS’s speech, r",1800-12-05,6,9
1020,emte on petition of Paul M’Dermot,1800-12-08,6,9
1021,cmte on petition of Shadrach Inman,1800-12-08,6,9
1022,emte on enrolled bills,1800-12-10,6,9
1023,\emte on HR bill for relief of Robert Hooper,1800-12-17,6,9
1024,\emte on petition of John Pitchlynn,1800-12-18,6,9
1025,cmte on HR bill to erect mausoleum for GW,1801-01-06,6,9
1026,Cmte on HR bill for lighthouse on Cape Poge,1801-01-22,6,9
1027,"Cmte on HR bill to continue acts laying duties on wines, spirits,
& refined sugar, etc",1801-01-22,6,9
1028,emte on HR bill for relief of Solomon Boston,1801-01-22,6,9
1029,cmte on HR bill for more convenient organization of the courts,1801-01-27,6,9
1030,Jt cmte on mode of examining votes for PUS & VP,1801-01-27,6,9
1031,Cmte on bill for mausoleum for GW and amendment,1801-01-30,6,9
1033,Jt cmte to wait on PUS,1801-12-07,7,1
1034,Jt Cmte on Library (books & maps),1801-12-07,7,1
1035,Jt cmte on enrolled bills,1801-12-10,7,1
1036,cmte on petition of Daniel Fox to consider & report upon,1801-12-16,7,1
1037,"cmte on letter of Simon Willard, r",1801-12-16,7,1
1038,"Cmte on Anderson's bill to discharge Laurence Erb from
imprisonment",1801-12-24,7,1
1039,cmte on petition of Isaac Zane,1801-12-31,7,1
1040,Cmte on Hr bill for library,1801-12-31,7,1
1041,cmte on HR bill for apportionment of HR,1802-01-07,7,1
1042,"Cmte on PUS's message, re",1802-01-11,7,1
1043,"\emte,on HR bill authorizing discharge of John Hobby from
confinement",1802-01-15,7,1
1044,Cmte of conference on bill concerning library,1802-01-15,7,1
1045,"Cmte on, repeal of judiciary act of 1801 (Breckinridge's motion)",1801-01-19,7,1
1046,cmte on HR bill for military peace establishment,1802-01-22,7,1
1047,"Cmte on HR bill for protection of commerce & seamen of US in
Mediterranean",1802-01-22,7,1
1048,"cmte to whom recommitted to repeal judiciary act of 1801 with
instructions to report alterations to judicial system",1802-01-27,7,1
1049,cmte on HR bill regulating foreign coins,1802-01-28,7,1
1050,"Cmte on PUS's message, r",1803-02-15,7,10
1051,"Cmte on Breckinridge's bill to alter time for holding courts in
KY",1803-02-15,7,10
1052,"Cmte on Hr bill supplement to law providing passports for US
ships",1803-02-16,7,10
1053,Cmte on HR bill for invalid pensions,1803-02-17,7,10
1054,"Cmte on Hr bill in addition to law to more effectually provide
for national defense by establishing a uniform militia",1803-02-17,7,10
1055,Cmte on HR bill for relief of Samuel Corp,1803-02-18,7,10
1056,"Cmte on HR bill to prevent importation of certain persons into
certain states where laws prohibit importation",1803-02-18,7,10
1057,Cmte on HR bill in addition to law for registering ships,1803-02-18,7,10
1058,Cmte on HR bill making appropriation for navy,1803-02-22,7,10
1059,"cmte on HR making appropriations for aoe Feb 23, 1803",1803-02-23,7,10
1060,"Cmte on Hr bill amending law to enable people in eastern part of
nw territory to form state, etc",1803-02-23,7,10
1061,Cmte on Wright's bill for next meeting of Congress,1803-02-24,7,10
1062,"Cmte on Hr bill to authorize transfer of duties of supervisor to
any other office",1803-02-25,7,10
1063,"Cmte on HR bill to revive & continue law regulating grants of
land appropriated for military services & society of United
Brethren",1803-02-25,7,10
1064,"Cmte on Breckinridge's resolutions respecting militia with leave
to report by bill or otherwise",1803-02-25,7,10
1065,cmte on HR bill regulating grants of land in TN,1803-02-26,7,10
1066,"Cmte on HR bill making Beaufort, city of Washington, and
Passamaquoddy ports of entry etc",1803-02-26,7,11
1067,cmte on HR bill for lighthouse at Penobscot bay,1803-02-26,7,11
1068,cmte on HR bill to amend judicial system,1803-02-26,7,11
1069,"Cmte on HR bill concerning insurance of bldgs, goods, & furniture
in alexandria",1803-02-26,7,11
1070,cmte on Breckinridge's bill amending law concerning DC,1803-02-26,7,11
1071,"Cmte on HR bill regulating grant of land appropriated for
refugees from Canada & Nova Scotia",1803-02-28,7,11
1072,Cmte on HR bill for organization of DC militia,1803-02-28,7,11
1073,cmte on HR bill to reduce marine corps,1803-03-01,7,11
1074,cmte on HR bill for relief of Paul Coulon,1803-03-02,7,11
1075,cmte on HR bill for relief of Joshua Harvey & others,1803-03-02,7,11
1076,"emte on HR bill to enable PUS to make restitution to owners of
Danish brigantine called Hendrick",1803-03-03,7,11
1077,emte on HR bill concerning City of Washington,1803-03-03,7,11
1078,"Cmte of conference on bill making appropriations for military
establishment",1803-03-03,7,11
1079,cmte on HR bill allowing drawback of duty in sugar refined in US,1803-03-03,7,11
1080,cmte on impeachment of John Pickering,1802-06-30,7,11
1081,Jt cmte to wait on PUS,1803-01-12,7,11
1084,Cmte on nominations of Joseph Farley & others,1803-01-17,7,12
1085,Cmte on nominations of John martin Baker & others,1803-02-08,7,12
1086,Cmte on confidential bills from HR [LA],1803-02-16,7,12
1087,Cmte to carry message to HR,1803-02-22,7,12
1088,"Cmte on PUS's message of Feb 15, nominating Aaron Vale to be

commercial agent at L'Orient, France",1803-02-22,7,12
1089,"Cmte to whom recommit HR bill for protection of commerce & seamen
of US in Mediterranean",1802-01-28,7,2
1090,"cmte on HR bill extending frank and paying MS representative in
Congress",1802-01-28,7,2
1091,"Cmte to consider if any regulations proper respecting public
officers & agents who shall squander public money, officially
entrusted to them with leave to report by bill or otherwise",1802-01-28,7,2
1092,cmte on HR bill for Philip Sloan,1802-02-01,7,2
1093,"Cmte on HR bill to authorize settlement of account of Samuel
Dexter",1802-02-04,7,2
1094,Cmte on HR bill for relief of Lyon Lehman,1802-02-05,7,2
1095,Cmte on memorial of Phila merchants to consider & report on,1802-02-08,7,2
1096,"cmte on HR bill allowing drawbacks on goods exported to New
Orleans",1802-02-10,7,2
1097,"Cmte to consider expediency of continuing in force law to
regulate trade with Indians",1802-02-10,7,2
1098,"Cmte on HR bill to authorize collection of fees due officers of
courts in MD",1802-02-12,7,2
1099,Cmte on HR bill making partial appropriations for 1802,1802-02-12,7,2
1100,Cmte on HR bill to lay & collect direct tax,1802-02-15,7,2
1101,"Cmte on PUS's message of Feb 2, 1802, re small parcels of lands
purchased for cantonments and other military purposes",1802-02-02,7,2
1102,"Cmte on so much of PUS's message of Feb 2 as refers to report of
Sec of War on islands in lakes & rivers of our northern boundary
& lands around military posts",1802-02-15,7,2
1103,cmte discharged,1802-02-15,7,2
1104,Cmte on petition of John James Dufour to consider & report on,1802-02-16,7,2
1105,Cmte to whom recommitted bill for military peace establishment,1802-02-26,7,2
1106,Cmte on petition of Ebenzer Stevens,1802-03-01,7,3
1107,Cmte on PUS's message of March 1 to consider & report upon,1802-03-04,7,3
1108,"Cmte on petitions Bldget, Tolman, Shepard",1802-03-05,7,3
1109,Cmte to revise rules,1802-03-09,7,3
1110,"Cmte on petition of Albert Russel & others to consider & report
on",1802-03-09,7,3
1111,"Cmte on HR bill for rebuilding lighthouse on Gurnet point, etc",1802-03-09,7,3
1112,"Cmte on HR bill for accommodation of persons concerned with
fisheries",1802-03-10,7,3
1113,Cmte on HR bill for relief of Francis Duchoquet,1802-03-11,7,3
1114,cmte on library,1802-03-11,7,3
1115,Cmte on Anderson's bill for better org of TN courts,1802-03-12,7,3
1116,cmte discharged,1802-03-12,7,3
1117,"Cmte on HR bill revising & amending acts concerning
naturalization",1802-03-15,7,3
1118,"Cmte on motion to consider what further provisions needed for
carrying mail of US",1802-03-16,7,3
1119,Cmte on HR bill for relief of marshals of certain districts,1802-03-18,7,3
1120,Cmte to whom recommit bill to regulate trade with indians,1802-03-18,7,3
1121,Cmte on petition of Alexander Gardner & Thomas Pickney,1802-03-23,7,3
1122,"Cmte on motion to consider if any amendments necessary to laws to
establish judicial courts",1802-03-24,7,3
1126,"Cmte on Bradley's bill for encouragement of learning by securing
copies of maps, etc",1802-03-25,7,4
1127,"Cmte on HR bill making partial appropriations for seO March 29,
1802",1802-03-25,7,4
1128,"Cmte on PUS's message, condition of persons in custody of marshal
of Columbia",1802-03-29,7,4
1129,Cmte on HR bill to augment salaries of certain officers,1802-03-29,7,4
1130,Cmte on HR bill for United Brethren,1802-03-29,7,4
1131,"Cmte on Hr bill to retain’ a further sum on drawbacks for expenses
incident to allowance & payment of",1802-03-30,7,4
1132,Cmte on HR bill declaring consent of Congress to VA act,1802-04-05,7,4
1133,Cmte on petition of Elijah Brainerd,1802-04-06,7,4
1134,Cmte on HR bill to alter & est certain post rds,1802-04-06,7,4
1135,Cmte on HR bill for relief of Paolo Paoly,1802-04-06,7,4
1136,Cmte on HR bill for relief of Thomas K,1802-04-07,7,4
1137,Cmte on petition of Jonathan Snowden,1802-04-07,7,4
1138,"Cmte to consider what, if any, provisions necessary for sale of
lands nw of OH river",1802-04-07,7,4
1139,Cmte to consider regulations for lands claimed by US within TN,1802-04-08,7,4
1140,Jt cmte on necessary business,1802-04-09,7,4
1142,"Cmte on HR bill to enable people of eastern division of nw

‘territory to form state govt",1802-04-12,7,5
1143,"cmte
in place of Baldwin, elected pres pro tem",1802-04-12,7,5
1144,Cmte on Bradley's bill to alter session of VT district court,1802-04-13,7,5
1145,"Cmte on S T Mason's bill for establishing govt of territory
Columbia",1802-04-13,7,5
1146,Cmte on HR bill for relief of Paul Coulon,1802-04-15,7,5
1147,"Cmte on HR amendments to bill for better security of public $ and
property in hands of public officers & agents",1802-04-15,7,5
1148,Cmte on HR bill for redemption of whole of public debt,1802-04-15,7,5
1149,Cmte on HR bill for sick & disabled seamen,1802-04-16,7,5
1150,"Cmte on HR bill to regulate & fix compensations of officers of HR
and Senate",1802-04-16,7,5
1151,Cmte on HR bill for relief of Lewis Tousard,1802-04-16,7,5
1152,"Cmte on Hr bill to abolish board of commissioners in city of
Washington, & make provision for repayment of loans made by MD
for city",1802-04-17,7,5
1153,Cmte on HR bill for relief of Fulwar Skipwith,1802-04-17,7,5
1154,"Cmte on HR bill to establish certain districts & amend law to
regulate collection of duties on imports & tonnage",1802-04-19,7,5
1155,"Cmte on HR bill for relief of widows & orphans of certain
persons",1802-04-21,7,5
1156,"Cmte on HR bill making appropriation for support of US navy for
1802)",1802-04-21,7,5
1158,Cmte to whom recommit bill fore relief of Fulwar Skipwith,1802-04-23,7,6
1159,emte in place of Dayton absent,1802-04-23,7,6
1160,Cmte on petition of John C Symmes,1802-04-24,7,6
1161,Cmte of conference on bill to alter & est post roads,1802-04-26,7,6
1162,Cmte on HR bill making appropriations for military establishment for 1802,1802-04-26,7,6
1163,Cmte on HR bill making appropriations for support of govt for 1802,1802-04-27,7,6
1164,Cmte on PUS's message of April 27 re requesting appropriations for carrying out treaty of amity with Britain,1802-04-29,7,6
1165,Cmte on Tracy's bill to carry into effect resolution of congress passed 6-17-1777,1802-04-29,7,6
1166,Cmte on HR bill in addition to & amendatory of act concerning DC,1802-04-29,7,6
1167,Cmte on HR bill to incorporate inhabitants of city of Washington,1802-04-29,7,6
1168,"Cmte on PUS's message of April 26, re articles of agreement & cession with GA",1802-05-03,7,6
1169,Jt cmte to wait on PUS,1801-03-05,7,6
1170,Jt cmte to wait on PUS,1801-12-11,7,6
1171,Cmte on ratification of Convention with France & PUS's message,1802-02-04,7,6
1172,Cmte on nomination of John Taylor (commissioner to negotiate treaty with Indian tribe),1802-03-26,7,6
1173,"Cmte on nominations of Cornelius Lyman, Jesse Lull, Zebulun Pike, & Zebulun M Pike",1802-04-29,7,6
1175,Jt cmte to wait on PUS,1802-12-14,7,8
1176,"Cmte on petition of Sarah Flectcher & Jane Ingraham to consider &
report on",1802-12-20,7,8
1177,Cmte on memorial of ist & 2nd chambers of WDC city council,1802-12-21,7,8
1178,"Cmte on Tracy's bill to erect a monument to memory of General
David Wooster",1802-12-23,7,8
1179,"Cmte on petition from MS, re Spanish land titles",1802-12-27,7,8
1180,Cmte on petition of Christian Vangundy to consider & report,1802-12-28,7,8
1181,Cmte on petition of Cloe Strong to consider & report,1802-12-31,7,8
1182,Cmte on HR bill for relief of Charles Hyde,1803-01-05,7,8
1183,"Cmte on HR bill making appropriations for military establishment
tor 803",1803-01-06,7,8
1184,"Cmte on HR bill making partial appropriation for naval service
for",1803-01-06,7,8
1185,Cmte on extending US laws to OH,1803-01-07,7,8
1186,Jt emte on enrolled bills,1803-01-10,7,8
1187,"Cmte on PUS's message, re annual report of govt's contingent
expenses",1803-01-19,7,8
1188,"cmte
discharged",1803-01-20,7,8
1189,Cmte on PUS's confidential message of Jan 18,1803-01-21,7,8
1190,Cmte on HR bill for relief of Henry Messonnier,1803-01-21,7,8
1191,Cmte on HR bill for relief of sufferers by fire in Portsmouth,1803-01-21,7,8
1192,Cmte on HR bill for relief of insolvent debtors within DC,1803-01-21,7,8
1194,Cmte on HR bill for relief of Hugh Alexander & others,1803-01-25,7,9
1195,"Cmte on HR bill for incorporating insurance company in city of
Washington",1803-01-25,7,9
1196,"Cmte on PUS's message of Jan 18 as relates to salt springs on the
wabash with leave to report by bill or otherwise",1803-01-25,7,9
1197,Cmte on memorials of circuit judges,1803-01-27,7,9
1198,Cmte on HR bill for relief of Wm,1803-02-02,7,9
1199,"emte on HR bill in addition to law fixing military peace
establishment",1803-02-02,7,9
1200,"Cmte on Hr bill authorizing sale of land belonging to US navy
yard in Charleston, MA to Salem turnpike road & Chelsea bridge
corporation",1803-02-02,7,9
1201,Cmte on petition of Stephen Sayre to consider & report,1803-02-02,7,9
1202,Cmte on Hr bill for consuls & vice consuls,1803-02-07,7,9
1203,Cmte on petition of Robert Ross,1803-02-07,7,9
1204,"Cmte to consider if amendments necessary to act providing for
sale of lands in nw territory",1803-02-08,7,9
1205,"Cmte on HR bill providing for granting of clearances to ships

lying in river MS",1803-02-09,7,9
1206,"Cmte on HR amendments to bill for relief of insolvent debtors in
DC",1803-02-11,7,9
1207,Cmte on petition of J,1803-02-11,7,9
1208,Cmte on HR bill for relief of Moses White,1803-02-14,7,9
1209,"cmte on Hr bill for additional armament for protection of seamen
& commerce of US",1803-02-14,7,9
1210,cmte to wait on PUS,1803-10-17,8,1
1211,cmte on unfinished business,1803-10-22,8,1
1212,cmte discharged,1803-10-22,8,1
1213,"cmte on constitutional amendment proposed by Clinton, r",1803-10-24,8,1
1214,"Cmte on Breckinridge's bill to enable PUS to take possession of
territories ceded by France (LA)",1803-10-27,8,1
1215,cmte on petition of Martha Seamans,1803-10-29,8,1
1216,Jt cmte on enrolled bills,1803-10-29,8,1
1217,"cmte of conference on bill to enable PUS to take possession of
territories ceded by France (LA)",1803-04-30,8,1
1218,"Cmte on HR bill authorizing creation of stock to amount of
$11,250,000 for carrying convention with France of April 30, 1803
into effect",1803-10-31,8,1
1219,"Cmte on petition of John Crouse & others, r",1803-11-01,8,1
1220,"Cmte on HR bill making appropriation to carrying into effect 7th
article of treaty of amity, commerce, & navigation between US &
GB",1803-11-04,8,1
1221,"Cmte to consider expediency of extending the carriage of mail in
covered or stage waggons",1803-11-04,8,1
1222,emte on memorial of Robert Quillin,1803-11-07,8,1
1223,"cmte bill (report from cmte on Joseph Harrison's petition & to
examine 6th & 7th articles of OH const) to divide IN territory
into 2 govts",1803-11-09,8,1
1224,Cmte on HR bill making appropriations for navy,1805-01-04,8,10
1225,Cmte on Hr bill to amend charter of Alexandria,1805-01-04,8,10
1226,"Cmte on HR bill giving further time to register evidences of
titles to land south of TN",1805-01-04,8,10
1227,"Cmte on HR bill supplement to law regulating collection of
duties",1805-01-04,8,10
1228,"Cmte on HR bill carrying complete effect 10th article of treaty
with Spain",1805-01-04,8,10
1229,"Cmte on Worthington's bill concerning mode of surveying public
lands of US",1805-01-04,8,10
1230,"Cmte on HR bill to extend jurisdiction in certain cases to state
& territorial courts",1805-01-04,8,10
1231,"Cmte on petition of merchants, planters, & others of LA",1805-01-09,8,10
1232,Cmte to whom recommit HR bill for relief of Charlotte Hazen,1805-01-10,8,10
1233,"Cmte on Breckinridge's bill for ascertaining & adjusting titles
and claims to land within territory of Orleans & LA",1805-01-14,8,10
1234,Cmte on HR bill to regulate clearance of armed merchant vessels,1805-01-15,8,10
1235,"Cmte on letter signed Mathew Carey stating terms on which he
would print certain additional copies of US laws",1805-01-16,8,10
1236,"Cmte on HR bill making appropriations for completing south wing
of capitol",1805-01-16,8,10
1237,"Cmte on HR bill to further amend law regulating grants of land &
‘providing for disposal of lands south of TN",1805-01-18,8,10
1238,"Cmte on Franklin's bill giving assent to NC law for relief of
foreign seamen in port of Wilmington",1805-01-21,8,10
1241,Cmte on HR bill to amend charter of Georgetown,1805-01-22,8,11
1242,"Cmte on memorial from NYC, depositing revenue bonds",1805-01-23,8,11
1243,"Cmte on HR bill authorizing PMG to make new contract for carrying
mail from Fayetteville, NC to Charleston, SC",1805-01-23,8,11
1244,"Cmte to whom recommitted Worthington's bill concerning certain
public roads",1805-01-23,8,11
1245,Cmte on HR bill for relief of widow & orphans of Robert Elliott,1805-01-24,8,11
1246,"cmte on printing proceedings of impeachment trials of Blount,
Pickering, & Chase",1805-01-24,8,11
1247,cmte on HR bill for relief of Alexander Murray,1805-01-25,8,11
1248,cmte on amendments to bill for est rules & articles for army,1805-01-25,8,11
1249,"Cmte to lay before PUS resolution requesting info relative to
complaints against arming the merchants ships or vessels of US or
conduct",1805-01-28,8,11
1250,"Cmte on Worthington's bill to regulate certain cases & other
purposes",1805-01-29,8,11
1251,cmte on HR bill for discharge of John york from his imprisonment,1805-02-02,8,11
1252,Cmte on memorial of George Scoone,1805-02-04,8,11
1253,"Cmte on petitions of Jeremiah Hunt and Ethan Stone, and Joseph
Prince",1805-02-04,8,11
1254,Cmte on petition of George Dougherty,1805-02-07,8,11
1255,emte on HR bill to provide for DC govt & repeal certain acts,1805-02-07,8,11
1259,cmte on Anderson's bill for govt of LA,1805-02-08,8,12
1260,"Cmte on Hr bill to authorize erection of bridge in US navy veard
in Brooklyn, NY",1805-02-09,8,12
