name,votes,committee,cmte_type,date,congress,page
Burr,18,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Butler,3,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Cabot,1,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Carroll,2,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Dickinson,4,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Ellsworth,9,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Few,2,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Foster,1,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Gunn,9,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Hawkins,11,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Henry,7,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Izard,5,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Johnston,2,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
King,8,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Langdon,8,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Lee,1,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Monroe,3,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Read,10,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Robinson,1,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Rutherfurd,4,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Sherman,3,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Stanton,1,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Strong,5,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Wingate,1,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Bassett,1,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Bradley,1,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Burr,1,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Butler,4,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Cabot,1,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Dickinson,2,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Ellsworth,2,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Few,1,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Gunn,2,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Hawkins,2,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Henry,2,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Johnston,1,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Izard,2,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
King,4,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Langdon,5,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Lee,3,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Monroe,3,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Morris,1,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Read,2,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Rutherfurd,1,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Sherman,19,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Strong,5,Jt cmte on Recess and necessary business; Feb 20,,1792-02-20,2,4
Bassett,1,Cmte on James Mathers’s petition,,1792-02-21,2,4
Bradley,1,Cmte on James Mathers’s petition,,1792-02-21,2,4
Cabot,2,Cmte on James Mathers’s petition,,1792-02-21,2,4
Ellsworth,3,Cmte on James Mathers’s petition,,1792-02-21,2,4
Hawkins,1,Cmte on James Mathers’s petition,,1792-02-21,2,4
Johnston,14,Cmte on James Mathers’s petition,,1792-02-21,2,4
Izard,6,Cmte on James Mathers’s petition,,1792-02-21,2,4
King,2,Cmte on James Mathers’s petition,,1792-02-21,2,4
Langdon,4,Cmte on James Mathers’s petition,,1792-02-21,2,4
Lee,2,Cmte on James Mathers’s petition,,1792-02-21,2,4
Monroe,1,Cmte on James Mathers’s petition,,1792-02-21,2,4
Morris,1,Cmte on James Mathers’s petition,,1792-02-21,2,4
Read,2,Cmte on James Mathers’s petition,,1792-02-21,2,4
Robinson,3,Cmte on James Mathers’s petition,,1792-02-21,2,4
Rutherfurd,2,Cmte on James Mathers’s petition,,1792-02-21,2,4
Stanton,1,Cmte on James Mathers’s petition,,1792-02-21,2,4
Sherman,17,Cmte on James Mathers’s petition,,1792-02-21,2,4
Strong,3,Cmte on James Mathers’s petition,,1792-02-21,2,4
Wingate,3,Cmte on James Mathers’s petition,,1792-02-21,2,4
Burr,3,Cmte on bill to extend claims &c,,1792-02-27,2,4
Cabot,1,Cmte on bill to extend claims &c,,1792-02-27,2,4
Carroll,2,Cmte on bill to extend claims &c,,1792-02-27,2,4
Dickinson,1,Cmte on bill to extend claims &c,,1792-02-27,2,4
Ellsworth,10,Cmte on bill to extend claims &c,,1792-02-27,2,4
Foster,1,Cmte on bill to extend claims &c,,1792-02-27,2,4
Gunn,4,Cmte on bill to extend claims &c,,1792-02-27,2,4
Hawkins,2,Cmte on bill to extend claims &c,,1792-02-27,2,4
Johnston,1,Cmte on bill to extend claims &c,,1792-02-27,2,4
Izard,5,Cmte on bill to extend claims &c,,1792-02-27,2,4
King,6,Cmte on bill to extend claims &c,,1792-02-27,2,4
Lee,9,Cmte on bill to extend claims &c,,1792-02-27,2,4
Monroe,4,Cmte on bill to extend claims &c,,1792-02-27,2,4
Morris,5,Cmte on bill to extend claims &c,,1792-02-27,2,4
Robinson,1,Cmte on bill to extend claims &c,,1792-02-27,2,4
Rutherfurd,5,Cmte on bill to extend claims &c,,1792-02-27,2,4
Stanton,2,Cmte on bill to extend claims &c,,1792-02-27,2,4
Strong,7,Cmte on bill to extend claims &c,,1792-02-27,2,4
Burr,4,Cmte of Conference,,1792-02-28,2,4
Butler,7,Cmte of Conference,,1792-02-28,2,4
Ellsworth,11,Cmte of Conference,,1792-02-28,2,4
Gunn,5,Cmte of Conference,,1792-02-28,2,4
Izard,5,Cmte of Conference,,1792-02-28,2,4
King,7,Cmte of Conference,,1792-02-28,2,4
Lee,7,Cmte of Conference,,1792-02-28,2,4
Monroe,3,Cmte of Conference,,1792-02-28,2,4
Read,1,Cmte of Conference,,1792-02-28,2,4
Rutherfurd,2,Cmte of Conference,,1792-02-28,2,4
Stanton,2,Cmte of Conference,,1792-02-28,2,4
Strong,5,Cmte of Conference,,1792-02-28,2,4
Wingate,1,Cmte of Conference,,1792-02-28,2,4
Burr,2,Cmte on Moses Young’s petition,,1792-02-28,2,4
Butler,11,Cmte on Moses Young’s petition,,1792-02-28,2,4
Carroll,1,Cmte on Moses Young’s petition,,1792-02-28,2,4
Ellsworth,7,Cmte on Moses Young’s petition,,1792-02-28,2,4
Few,1,Cmte on Moses Young’s petition,,1792-02-28,2,4
Foster,2,Cmte on Moses Young’s petition,,1792-02-28,2,4
Gunn,2,Cmte on Moses Young’s petition,,1792-02-28,2,4
Johnston,2,Cmte on Moses Young’s petition,,1792-02-28,2,4
Izard,2,Cmte on Moses Young’s petition,,1792-02-28,2,4
King,1,Cmte on Moses Young’s petition,,1792-02-28,2,4
Lee,7,Cmte on Moses Young’s petition,,1792-02-28,2,4
Morris,4,Cmte on Moses Young’s petition,,1792-02-28,2,4
Read,1,Cmte on Moses Young’s petition,,1792-02-28,2,4
Robinson,1,Cmte on Moses Young’s petition,,1792-02-28,2,4
Rutherfurd,2,Cmte on Moses Young’s petition,,1792-02-28,2,4
Stanton,1,Cmte on Moses Young’s petition,,1792-02-28,2,4
Sherman,6,Cmte on Moses Young’s petition,,1792-02-28,2,4
Strong,6,Cmte on Moses Young’s petition,,1792-02-28,2,4
Wingate,4,Cmte on Moses Young’s petition,,1792-02-28,2,4
Bassett,1,Cmte on lighthouse,,1792-03-01,2,4
Burr,12,Cmte on lighthouse,,1792-03-01,2,4
Cabot,4,Cmte on lighthouse,,1792-03-01,2,4
Carroll,3,Cmte on lighthouse,,1792-03-01,2,4
Ellsworth,1,Cmte on lighthouse,,1792-03-01,2,4
Foster,6,Cmte on lighthouse,,1792-03-01,2,4
Gunn,5,Cmte on lighthouse,,1792-03-01,2,4
Hawkins,2,Cmte on lighthouse,,1792-03-01,2,4
Johnston,2,Cmte on lighthouse,,1792-03-01,2,4
Langdon,2,Cmte on lighthouse,,1792-03-01,2,4
Monroe,1,Cmte on lighthouse,,1792-03-01,2,4
Morris,5,Cmte on lighthouse,,1792-03-01,2,4
Read,2,Cmte on lighthouse,,1792-03-01,2,4
Rutherfurd,2,Cmte on lighthouse,,1792-03-01,2,4
Stanton,5,Cmte on lighthouse,,1792-03-01,2,4
Sherman,4,Cmte on lighthouse,,1792-03-01,2,4
Bassett,2,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Bradley,1,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Burr,5,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Carroll,2,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Dickinson,1,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Ellsworth,14,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Hawkins,4,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Izard,3,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Johnston,2,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Langdon,1,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Lee,3,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Monroe,1,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Read,2,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Rutherfurd,5,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Sherman,2,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Strong,11,Conference on bill ascertain & regulate the claims to half-pay,,1792-03-05,2,9
Bradley,2,Cmte on confer President,,1792-03-07,2,3
Burr,2,Cmte on confer President,,1792-03-07,2,3
Butler,2,Cmte on confer President,,1792-03-07,2,3
Cabot,2,Cmte on confer President,,1792-03-07,2,3
Carroll,4,Cmte on confer President,,1792-03-07,2,3
Ellsworth,3,Cmte on confer President,,1792-03-07,2,3
Few,1,Cmte on confer President,,1792-03-07,2,3
Foster,1,Cmte on confer President,,1792-03-07,2,3
Gunn,1,Cmte on confer President,,1792-03-07,2,3
Hawkins,2,Cmte on confer President,,1792-03-07,2,3
Izard,7,Cmte on confer President,,1792-03-07,2,3
King,12,Cmte on confer President,,1792-03-07,2,3
Lee,2,Cmte on confer President,,1792-03-07,2,3
Monroe,2,Cmte on confer President,,1792-03-07,2,3
Morris,11,Cmte on confer President,,1792-03-07,2,3
Sherman,4,Cmte on confer President,,1792-03-07,2,3
Strong,4,Cmte on confer President,,1792-03-07,2,3
Wingate,1,Cmte on confer President,,1792-03-07,2,3
Burr,2,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Butler,2,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Cabot,19,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Carroll,2,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Ellsworth,3,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Few,1,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Hawkins,2,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Henry,1,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
King,3,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Langdon,9,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Lee,3,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Monroe,3,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Morris,18,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Sherman,2,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Strong,1,Cmte on PUS’s message relative to Spain,,1792-03-07,2,4
Bradley,2,Cmte on Journals,,1792-03-08,2,3
Burr,1,Cmte on Journals,,1792-03-08,2,3
Butler,1,Cmte on Journals,,1792-03-08,2,3
Cabot,3,Cmte on Journals,,1792-03-08,2,3
Carroll,4,Cmte on Journals,,1792-03-08,2,3
Ellsworth,9,Cmte on Journals,,1792-03-08,2,3
Foster,2,Cmte on Journals,,1792-03-08,2,3
Hawkins,1,Cmte on Journals,,1792-03-08,2,3
Johnston,1,Cmte on Journals,,1792-03-08,2,3
Izard,1,Cmte on Journals,,1792-03-08,2,3
King,7,Cmte on Journals,,1792-03-08,2,3
Langdon,1,Cmte on Journals,,1792-03-08,2,3
Lee,10,Cmte on Journals,,1792-03-08,2,3
Morris,1,Cmte on Journals,,1792-03-08,2,3
Read,1,Cmte on Journals,,1792-03-08,2,3
Rutherfurd,1,Cmte on Journals,,1792-03-08,2,3
Sherman,8,Cmte on Journals,,1792-03-08,2,3
Strong,15,Cmte on Journals,,1792-03-08,2,3
Bassett,1,Cmte on Ellsworth's motion,,1792-03-16,2,3
Butler,1,Cmte on Ellsworth's motion,,1792-03-16,2,3
Ellsworth,14,Cmte on Ellsworth's motion,,1792-03-16,2,3
Johnston,1,Cmte on Ellsworth's motion,,1792-03-16,2,3
Langdon,1,Cmte on Ellsworth's motion,,1792-03-16,2,3
Lee,11,Cmte on Ellsworth's motion,,1792-03-16,2,3
Monroe,5,Cmte on Ellsworth's motion,,1792-03-16,2,3
Morris,3,Cmte on Ellsworth's motion,,1792-03-16,2,3
Read,2,Cmte on Ellsworth's motion,,1792-03-16,2,3
Sherman,1,Cmte on Ellsworth's motion,,1792-03-16,2,3
Strong,11,Cmte on Ellsworth's motion,,1792-03-16,2,3
Burr,12,Cmte of conference apportionment,,1792-03-19,2,3
Butler,8,Cmte of conference apportionment,,1792-03-19,2,3
Cabot,7,Cmte of conference apportionment,,1792-03-19,2,3
Carroll,8,Cmte of conference apportionment,,1792-03-19,2,3
Dickinson,2,Cmte of conference apportionment,,1792-03-19,2,3
Ellsworth,16,Cmte of conference apportionment,,1792-03-19,2,3
Few,1,Cmte of conference apportionment,,1792-03-19,2,3
King,4,Cmte of conference apportionment,,1792-03-19,2,3
Lee,7,Cmte of conference apportionment,,1792-03-19,2,3
Monroe,3,Cmte of conference apportionment,,1792-03-19,2,3
Sherman,2,Cmte of conference apportionment,,1792-03-19,2,3
Strong,5,Cmte of conference apportionment,,1792-03-19,2,3
Wingate,3,Cmte of conference apportionment,,1792-03-19,2,3
Bassett,1,Cmte on message of PUS,,1792-03-20,2,3
Bradley,2,Cmte on message of PUS,,1792-03-20,2,3
Burr,9,Cmte on message of PUS,,1792-03-20,2,3
Cabot,1,Cmte on message of PUS,,1792-03-20,2,3
Carroll,1,Cmte on message of PUS,,1792-03-20,2,3
Dickinson,3,Cmte on message of PUS,,1792-03-20,2,3
Ellsworth,4,Cmte on message of PUS,,1792-03-20,2,3
Foster,1,Cmte on message of PUS,,1792-03-20,2,3
Gunn,9,Cmte on message of PUS,,1792-03-20,2,3
Hawkins,6,Cmte on message of PUS,,1792-03-20,2,3
Izard,1,Cmte on message of PUS,,1792-03-20,2,3
King,1,Cmte on message of PUS,,1792-03-20,2,3
Lee,2,Cmte on message of PUS,,1792-03-20,2,3
Monroe,4,Cmte on message of PUS,,1792-03-20,2,3
Read,1,Cmte on message of PUS,,1792-03-20,2,3
Rutherfurd,4,Cmte on message of PUS,,1792-03-20,2,3
Strong,3,Cmte on message of PUS,,1792-03-20,2,3
Wingate,1,Cmte on message of PUS,,1792-03-20,2,3
Bradley,3,Cmte on bill for judicial courts,,1792-03-20,2,3
Carroll,3,Cmte on bill for judicial courts,,1792-03-20,2,3
Ellsworth,6,Cmte on bill for judicial courts,,1792-03-20,2,3
Few,3,Cmte on bill for judicial courts,,1792-03-20,2,3
Gunn,1,Cmte on bill for judicial courts,,1792-03-20,2,3
Hawkins,1,Cmte on bill for judicial courts,,1792-03-20,2,3
Johnston,20,Cmte on bill for judicial courts,,1792-03-20,2,3
Langdon,2,Cmte on bill for judicial courts,,1792-03-20,2,3
Lee,1,Cmte on bill for judicial courts,,1792-03-20,2,3
Monroe,2,Cmte on bill for judicial courts,,1792-03-20,2,3
Rutherfurd,4,Cmte on bill for judicial courts,,1792-03-20,2,3
Stanton,1,Cmte on bill for judicial courts,,1792-03-20,2,3
Sherman,15,Cmte on bill for judicial courts,,1792-03-20,2,3
Strong,5,Cmte on bill for judicial courts,,1792-03-20,2,3
Wingate,2,Cmte on bill for judicial courts,,1792-03-20,2,3
Bradley,1,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Cabot,4,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Dickinson,1,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Ellsworth,2,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Few,1,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Hawkins,2,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Henry,1,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Izard,4,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Johnston,11,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Langdon,6,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Lee,3,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Read,2,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Sherman,6,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Stanton,6,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Strong,1,Cmte Bald Head Lighthouse bill,,1792-03-27,2,3
Bassett,1,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Bradley,2,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Cabot,1,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Carroll,3,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Dickinson,1,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Ellsworth,3,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Few,4,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Foster,3,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Johnston,2,cmte on the purchase of JC Symmes,,1792-03-27,2,3
King,2,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Langdon,3,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Lee,6,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Monroe,2,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Read,5,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Rutherfurd,5,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Sherman,5,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Stanton,1,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Strong,8,cmte on the purchase of JC Symmes,,1792-03-27,2,3
Bassett,1,cmte Bill George Gibson,,1792-03-28,2,3
Bradley,1,cmte Bill George Gibson,,1792-03-28,2,3
Cabot,3,cmte Bill George Gibson,,1792-03-28,2,3
Carroll,2,cmte Bill George Gibson,,1792-03-28,2,3
Dickinson,1,cmte Bill George Gibson,,1792-03-28,2,3
Ellsworth,1,cmte Bill George Gibson,,1792-03-28,2,3
Few,1,cmte Bill George Gibson,,1792-03-28,2,3
Gunn,1,cmte Bill George Gibson,,1792-03-28,2,3
Henry,1,cmte Bill George Gibson,,1792-03-28,2,3
Izgard,1,cmte Bill George Gibson,,1792-03-28,2,3
Johnston,1,cmte Bill George Gibson,,1792-03-28,2,3
King,6,cmte Bill George Gibson,,1792-03-28,2,3
Langdon,1,cmte Bill George Gibson,,1792-03-28,2,3
Lee,3,cmte Bill George Gibson,,1792-03-28,2,3
Monroe,1,cmte Bill George Gibson,,1792-03-28,2,3
Morris,12,cmte Bill George Gibson,,1792-03-28,2,3
Read,2,cmte Bill George Gibson,,1792-03-28,2,3
Sherman,3,cmte Bill George Gibson,,1792-03-28,2,3
Stanton,1,cmte Bill George Gibson,,1792-03-28,2,3
Strong,3,cmte Bill George Gibson,,1792-03-28,2,3
Wingate,2,cmte Bill George Gibson,,1792-03-28,2,3
Cabot,12,Cmte bill fugitives from justice,,1792-03-30,2,4
Carroll,1,Cmte bill fugitives from justice,,1792-03-30,2,4
Ellsworth,2,Cmte bill fugitives from justice,,1792-03-30,2,4
Few,1,Cmte bill fugitives from justice,,1792-03-30,2,4
Foster,1,Cmte bill fugitives from justice,,1792-03-30,2,4
Gunn,1,Cmte bill fugitives from justice,,1792-03-30,2,4
Henry,2,Cmte bill fugitives from justice,,1792-03-30,2,4
Izard,7,Cmte bill fugitives from justice,,1792-03-30,2,4
Johnston,3,Cmte bill fugitives from justice,,1792-03-30,2,4
Langdon,1,Cmte bill fugitives from justice,,1792-03-30,2,4
Lee,6,Cmte bill fugitives from justice,,1792-03-30,2,4
Monroe,3,Cmte bill fugitives from justice,,1792-03-30,2,4
Read,1,Cmte bill fugitives from justice,,1792-03-30,2,4
Robinson,1,Cmte bill fugitives from justice,,1792-03-30,2,4
Sherman,7,Cmte bill fugitives from justice,,1792-03-30,2,4
Strong,2,Cmte bill fugitives from justice,,1792-03-30,2,4
Bassett,1,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Bradley,2,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Burr,1,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Carroll,1,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Few,1,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Gunn,3,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Hawkins,2,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Izard,11,Cmte on Beacons and buoys bill,,1792-04-02,2,6
King,3,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Langdon,4,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Morris,6,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Rutherfurd,2,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Sherman,1,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Stanton,1,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Strong,2,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Wingate,1,Cmte on Beacons and buoys bill,,1792-04-02,2,6
Cabot,3,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Carroll,4,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Ellsworth,3,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Few,2,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Izard,1,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
King,12,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Langdon,1,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Lee,1,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Morris,1,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Read,1,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Rutherfurd,3,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Sherman,1,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Strong,6,Cmte on Treasury & War Dept bill,,1792-04-03,2,6
Bassett,6,Cmte on OH Bill,,1792-04-09,2,6
Burr,5,Cmte on OH Bill,,1792-04-09,2,6
Cabot,2,Cmte on OH Bill,,1792-04-09,2,6
Dickinson,1,Cmte on OH Bill,,1792-04-09,2,6
Ellsworth,2,Cmte on OH Bill,,1792-04-09,2,6
Foster,1,Cmte on OH Bill,,1792-04-09,2,6
Gunn,7,Cmte on OH Bill,,1792-04-09,2,6
Henry,2,Cmte on OH Bill,,1792-04-09,2,6
Izard,2,Cmte on OH Bill,,1792-04-09,2,6
King,4,Cmte on OH Bill,,1792-04-09,2,6
Langdon,3,Cmte on OH Bill,,1792-04-09,2,6
Read,2,Cmte on OH Bill,,1792-04-09,2,6
Robinson,1,Cmte on OH Bill,,1792-04-09,2,6
Rutherfurd,13,Cmte on OH Bill,,1792-04-09,2,6
Sherman,7,Cmte on OH Bill,,1792-04-09,2,6
Strong,2,Cmte on OH Bill,,1792-04-09,2,6
Wingate,4,Cmte on OH Bill,,1792-04-09,2,6
Bassett,1,cmte on the Wilmington School,,1792-04-10,2,6
Bradley,2,cmte on the Wilmington School,,1792-04-10,2,6
Burr,8,cmte on the Wilmington School,,1792-04-10,2,6
Cabot,1,cmte on the Wilmington School,,1792-04-10,2,6
Carroll,1,cmte on the Wilmington School,,1792-04-10,2,6
Dickinson,1,cmte on the Wilmington School,,1792-04-10,2,6
Ellsworth,2,cmte on the Wilmington School,,1792-04-10,2,6
Gunn,2,cmte on the Wilmington School,,1792-04-10,2,6
Hawkins,1,cmte on the Wilmington School,,1792-04-10,2,6
Henry,1,cmte on the Wilmington School,,1792-04-10,2,6
Izard,1,cmte on the Wilmington School,,1792-04-10,2,6
Johnston,1,cmte on the Wilmington School,,1792-04-10,2,6
King,1,cmte on the Wilmington School,,1792-04-10,2,6
Langdon,10,cmte on the Wilmington School,,1792-04-10,2,6
Lee,3,cmte on the Wilmington School,,1792-04-10,2,6
Monroe,10,cmte on the Wilmington School,,1792-04-10,2,6
Morris,2,cmte on the Wilmington School,,1792-04-10,2,6
Read,10,cmte on the Wilmington School,,1792-04-10,2,6
Sherman,5,cmte on the Wilmington School,,1792-04-10,2,6
Strong,6,cmte on the Wilmington School,,1792-04-10,2,6
Wingate,4,cmte on the Wilmington School,,1792-04-10,2,6
Bradley,1,Cmte on duties on teas bill,,1792-04-10,2,7
Burr,3,Cmte on duties on teas bill,,1792-04-10,2,7
Cabot,5,Cmte on duties on teas bill,,1792-04-10,2,7
Carroll,1,Cmte on duties on teas bill,,1792-04-10,2,7
Ellsworth,4,Cmte on duties on teas bill,,1792-04-10,2,7
Gunn,1,Cmte on duties on teas bill,,1792-04-10,2,7
Izard,2,Cmte on duties on teas bill,,1792-04-10,2,7
King,12,Cmte on duties on teas bill,,1792-04-10,2,7
Langdon,9,Cmte on duties on teas bill,,1792-04-10,2,7
Lee,2,Cmte on duties on teas bill,,1792-04-10,2,7
Monroe,2,Cmte on duties on teas bill,,1792-04-10,2,7
Morris,12,Cmte on duties on teas bill,,1792-04-10,2,7
Read,1,Cmte on duties on teas bill,,1792-04-10,2,7
Sherman,1,Cmte on duties on teas bill,,1792-04-10,2,7
Strong,1,Cmte on duties on teas bill,,1792-04-10,2,7
Bassett,2,Cmte on General Greene,,1792-04-12,2,7
Burr,2,Cmte on General Greene,,1792-04-12,2,7
Cabot,8,Cmte on General Greene,,1792-04-12,2,7
Ellsworth,5,Cmte on General Greene,,1792-04-12,2,7
Few,1,Cmte on General Greene,,1792-04-12,2,7
Gunn,5,Cmte on General Greene,,1792-04-12,2,7
Henry,1,Cmte on General Greene,,1792-04-12,2,7
Izard,11,Cmte on General Greene,,1792-04-12,2,7
Johnston,6,Cmte on General Greene,,1792-04-12,2,7
King,2,Cmte on General Greene,,1792-04-12,2,7
