first_name,middle_name,last_name,age,congress,state,party,votes,committee_name,date,senator_id,senator_congress_id,committee_id
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,6,Cmte on bill impeachment,1798-01-23,A000197,163,488
Timothy,,Bloodworth,61,5,NC,Democratic Republican,1,Cmte on bill impeachment,1798-01-23,B000563,148,488
John,,Brown,40,5,KY,Democratic Republican,3,Cmte on bill impeachment,1798-01-23,B000929,149,488
Nathaniel,,Chipman,45,5,VT,Federalist,4,Cmte on bill impeachment,1798-01-23,C000369,164,488
Benjamin,,Goodhue,49,5,MA,Federalist,1,Cmte on bill impeachment,1798-01-23,G000286,134,488
Ray,,Greene,32,5,RI,Federalist,1,Cmte on bill impeachment,1798-01-23,G000427,162,488
James,,Gunn,44,5,GA,Federalist,1,Cmte on bill impeachment,1798-01-23,G000526,161,488
John,Eager,Howard,45,5,MD,Federalist,2,Cmte on bill impeachment,1798-01-23,H000841,136,488
John,,Hunter,45,5,SC,Democratic Republican,1,Cmte on bill impeachment,1798-01-23,H000982,146,488
Andrew,,Jackson,30,5,TN,Democratic Republican,2,Cmte on bill impeachment,1798-01-23,J000005,165,488
John,,Langdon,56,5,NH,Democratic Republican,2,Cmte on bill impeachment,1798-01-23,L000067,137,488
Samuel,,Livermore,65,5,NH,Federalist,8,Cmte on bill impeachment,1798-01-23,L000364,139,488
Humphrey,,Marshall,37,5,KY,Federalist,15,Cmte on bill impeachment,1798-01-23,M000155,153,488
Alexander,,Martin,57,5,NC,Anti-Administration,1,Cmte on bill impeachment,1798-01-23,M000166,152,488
Stevens,Thomson,Mason,37,5,VA,Democratic Republican,1,Cmte on bill impeachment,1798-01-23,M000226,140,488
Elijah,,Paine,40,5,VT,Federalist,2,Cmte on bill impeachment,1798-01-23,P000026,154,488
Jacob,,Read,45,5,SC,Federalist,3,Cmte on bill impeachment,1798-01-23,R000092,155,488
James,,Ross,35,5,PA,Federalist,11,Cmte on bill impeachment,1798-01-23,R000448,156,488
Theodore,,Sedgwick,51,5,MA,Federalist,3,Cmte on bill impeachment,1798-01-23,S000222,141,488
Josiah,,Tattnall,35,5,GA,Democratic Republican,4,Cmte on bill impeachment,1798-01-23,T000052,158,488
Henry,,Tazewell,44,5,VA,Anti-Administration,14,Cmte on bill impeachment,1798-01-23,T000107,142,488
Uriah,,Tracy,42,5,CT,Federalist,14,Cmte on bill impeachment,1798-01-23,T000348,143,488
Timothy,,Bloodworth,61,5,NC,Democratic Republican,1,Ross's motion--cmte in place of Stockton on Turner's petition,1798-01-23,B000563,148,489
John,,Hunter,45,5,SC,Democratic Republican,1,Ross's motion--cmte in place of Stockton on Turner's petition,1798-01-23,H000982,146,489
Elijah,,Paine,40,5,VT,Federalist,2,Ross's motion--cmte in place of Stockton on Turner's petition,1798-01-23,P000026,154,489
Jacob,,Read,45,5,SC,Federalist,1,Ross's motion--cmte in place of Stockton on Turner's petition,1798-01-23,R000092,155,489
James,,Ross,35,5,PA,Federalist,9,Ross's motion--cmte in place of Stockton on Turner's petition,1798-01-23,R000448,156,489
Theodore,,Sedgwick,51,5,MA,Federalist,1,Ross's motion--cmte in place of Stockton on Turner's petition,1798-01-23,S000222,141,489
Henry,,Tazewell,44,5,VA,Anti-Administration,1,Ross's motion--cmte in place of Stockton on Turner's petition,1798-01-23,T000107,142,489
Uriah,,Tracy,42,5,CT,Federalist,4,Ross's motion--cmte in place of Stockton on Turner's petition,1798-01-23,T000348,143,489
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,2,Cmte on arrangements -- impeachment,1798-01-30,A000197,163,490
Timothy,,Bloodworth,61,5,NC,Democratic Republican,1,Cmte on arrangements -- impeachment,1798-01-30,B000563,148,490
John,,Brown,40,5,KY,Democratic Republican,1,Cmte on arrangements -- impeachment,1798-01-30,B000929,149,490
Samuel,,Livermore,65,5,NH,Federalist,19,Cmte on arrangements -- impeachment,1798-01-30,L000364,139,490
Jacob,,Read,45,5,SC,Federalist,2,Cmte on arrangements -- impeachment,1798-01-30,R000092,155,490
James,,Ross,35,5,PA,Federalist,10,Cmte on arrangements -- impeachment,1798-01-30,R000448,156,490
Theodore,,Sedgwick,51,5,MA,Federalist,9,Cmte on arrangements -- impeachment,1798-01-30,S000222,141,490
Richard,,Stockton,33,5,NJ,Federalist,9,Cmte on arrangements -- impeachment,1798-01-30,S000941,147,490
Henry,,Tazewell,44,5,VA,Anti-Administration,6,Cmte on arrangements -- impeachment,1798-01-30,T000107,142,490
Uriah,,Tracy,42,5,CT,Federalist,10,Cmte on arrangements -- impeachment,1798-01-30,T000348,143,490
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,3,Cmte on bill appropriation,1798-02-01,A000197,163,491
Timothy,,Bloodworth,61,5,NC,Democratic Republican,5,Cmte on bill appropriation,1798-02-01,B000563,148,491
John,,Brown,40,5,KY,Democratic Republican,1,Cmte on bill appropriation,1798-02-01,B000929,149,491
Benjamin,,Goodhue,49,5,MA,Federalist,3,Cmte on bill appropriation,1798-02-01,G000286,134,491
James,,Gunn,44,5,GA,Federalist,6,Cmte on bill appropriation,1798-02-01,G000526,161,491
James,,Hillhouse,43,5,CT,Federalist,12,Cmte on bill appropriation,1798-02-01,H000618,135,491
Andrew,,Jackson,30,5,TN,Democratic Republican,1,Cmte on bill appropriation,1798-02-01,J000005,165,491
John,,Langdon,56,5,NH,Democratic Republican,1,Cmte on bill appropriation,1798-02-01,L000067,137,491
Henry,,Latimer,45,5,DE,Federalist,2,Cmte on bill appropriation,1798-02-01,L000115,151,491
Samuel,,Livermore,65,5,NH,Federalist,1,Cmte on bill appropriation,1798-02-01,L000364,139,491
James,,Lloyd,41,5,MD,Federalist,1,Cmte on bill appropriation,1798-02-01,L000377,166,491
Humphrey,,Marshall,37,5,KY,Federalist,1,Cmte on bill appropriation,1798-02-01,M000155,153,491
Alexander,,Martin,57,5,NC,Anti-Administration,2,Cmte on bill appropriation,1798-02-01,M000166,152,491
Elijah,,Paine,40,5,VT,Federalist,10,Cmte on bill appropriation,1798-02-01,P000026,154,491
James,,Ross,35,5,PA,Federalist,2,Cmte on bill appropriation,1798-02-01,R000448,156,491
Theodore,,Sedgwick,51,5,MA,Federalist,8,Cmte on bill appropriation,1798-02-01,S000222,141,491
Josiah,,Tattnall,35,5,GA,Democratic Republican,2,Cmte on bill appropriation,1798-02-01,T000052,158,491
Uriah,,Tracy,42,5,CT,Federalist,6,Cmte on bill appropriation,1798-02-01,T000348,143,491
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,8,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,A000197,163,492
Timothy,,Bloodworth,61,5,NC,Democratic Republican,1,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,B000563,148,492
John,,Brown,40,5,KY,Democratic Republican,1,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,B000929,149,492
Nathaniel,,Chipman,45,5,VT,Federalist,1,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,C000369,164,492
James,,Hillhouse,43,5,CT,Federalist,15,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,H000618,135,492
John,,Langdon,56,5,NH,Democratic Republican,3,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,L000067,137,492
Samuel,,Livermore,65,5,NH,Federalist,1,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,L000364,139,492
James,,Lloyd,41,5,MD,Federalist,5,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,L000377,166,492
Humphrey,,Marshall,37,5,KY,Federalist,4,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,M000155,153,492
Elijah,,Paine,40,5,VT,Federalist,11,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,P000026,154,492
Jacob,,Read,45,5,SC,Federalist,14,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,R000092,155,492
James,,Ross,35,5,PA,Federalist,1,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,R000448,156,492
Theodore,,Sedgwick,51,5,MA,Federalist,2,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,S000222,141,492
Richard,,Stockton,33,5,NJ,Federalist,6,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,S000941,147,492
Henry,,Tazewell,44,5,VA,Anti-Administration,1,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,T000107,142,492
Uriah,,Tracy,42,5,CT,Federalist,3,Cmte on mode of prosecuting in cases of impeachment,1798-02-03,T000348,143,492
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,1,Cmte on petition of Galliopolis,1798-02-03,A000197,163,493
Timothy,,Bloodworth,61,5,NC,Democratic Republican,5,Cmte on petition of Galliopolis,1798-02-03,B000563,148,493
John,,Brown,40,5,KY,Democratic Republican,12,Cmte on petition of Galliopolis,1798-02-03,B000929,149,493
Nathaniel,,Chipman,45,5,VT,Federalist,2,Cmte on petition of Galliopolis,1798-02-03,C000369,164,493
Benjamin,,Goodhue,49,5,MA,Federalist,3,Cmte on petition of Galliopolis,1798-02-03,G000286,134,493
James,,Gunn,44,5,GA,Federalist,1,Cmte on petition of Galliopolis,1798-02-03,G000526,161,493
James,,Hillhouse,43,5,CT,Federalist,1,Cmte on petition of Galliopolis,1798-02-03,H000618,135,493
John,Sloss,Hobart,59,5,NY,Federalist,1,Cmte on petition of Galliopolis,1798-02-03,H000661,167,493
Andrew,,Jackson,30,5,TN,Democratic Republican,1,Cmte on petition of Galliopolis,1798-02-03,J000005,165,493
John,,Langdon,56,5,NH,Democratic Republican,5,Cmte on petition of Galliopolis,1798-02-03,L000067,137,493
Samuel,,Livermore,65,5,NH,Federalist,2,Cmte on petition of Galliopolis,1798-02-03,L000364,139,493
James,,Lloyd,41,5,MD,Federalist,2,Cmte on petition of Galliopolis,1798-02-03,L000377,166,493
Humphrey,,Marshall,37,5,KY,Federalist,1,Cmte on petition of Galliopolis,1798-02-03,M000155,153,493
Elijah,,Paine,40,5,VT,Federalist,2,Cmte on petition of Galliopolis,1798-02-03,P000026,154,493
Jacob,,Read,45,5,SC,Federalist,3,Cmte on petition of Galliopolis,1798-02-03,R000092,155,493
James,,Ross,35,5,PA,Federalist,1,Cmte on petition of Galliopolis,1798-02-03,R000448,156,493
Josiah,,Tattnall,35,5,GA,Democratic Republican,2,Cmte on petition of Galliopolis,1798-02-03,T000052,158,493
Henry,,Tazewell,44,5,VA,Anti-Administration,2,Cmte on petition of Galliopolis,1798-02-03,T000107,142,493
Uriah,,Tracy,42,5,CT,Federalist,3,Cmte on petition of Galliopolis,1798-02-03,T000348,143,493
Timothy,,Bloodworth,61,5,NC,Democratic Republican,1,cmte bill Thomas Clark,1798-02-05,B000563,148,494
Nathaniel,,Chipman,45,5,VT,Federalist,2,cmte bill Thomas Clark,1798-02-05,C000369,164,494
Benjamin,,Goodhue,49,5,MA,Federalist,4,cmte bill Thomas Clark,1798-02-05,G000286,134,494
John,Sloss,Hobart,59,5,NY,Federalist,1,cmte bill Thomas Clark,1798-02-05,H000661,167,494
John,Eager,Howard,45,5,MD,Federalist,4,cmte bill Thomas Clark,1798-02-05,H000841,136,494
Andrew,,Jackson,30,5,TN,Democratic Republican,1,cmte bill Thomas Clark,1798-02-05,J000005,165,494
John,,Langdon,56,5,NH,Democratic Republican,1,cmte bill Thomas Clark,1798-02-05,L000067,137,494
Henry,,Latimer,45,5,DE,Federalist,4,cmte bill Thomas Clark,1798-02-05,L000115,151,494
Samuel,,Livermore,65,5,NH,Federalist,3,cmte bill Thomas Clark,1798-02-05,L000364,139,494
Alexander,,Martin,57,5,NC,Anti-Administration,1,cmte bill Thomas Clark,1798-02-05,M000166,152,494
Elijah,,Paine,40,5,VT,Federalist,6,cmte bill Thomas Clark,1798-02-05,P000026,154,494
Jacob,,Read,45,5,SC,Federalist,1,cmte bill Thomas Clark,1798-02-05,R000092,155,494
James,,Ross,35,5,PA,Federalist,1,cmte bill Thomas Clark,1798-02-05,R000448,156,494
Theodore,,Sedgwick,51,5,MA,Federalist,3,cmte bill Thomas Clark,1798-02-05,S000222,141,494
Richard,,Stockton,33,5,NJ,Federalist,4,cmte bill Thomas Clark,1798-02-05,S000941,147,494
Josiah,,Tattnall,35,5,GA,Democratic Republican,3,cmte bill Thomas Clark,1798-02-05,T000052,158,494
Henry,,Tazewell,44,5,VA,Anti-Administration,3,cmte bill Thomas Clark,1798-02-05,T000107,142,494
Uriah,,Tracy,42,5,CT,Federalist,8,cmte bill Thomas Clark,1798-02-05,T000348,143,494
Theodore,,Foster,45,5,RI,Federalist,3,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,F000313,150,495
Benjamin,,Goodhue,49,5,MA,Federalist,6,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,G000286,134,495
Ray,,Greene,32,5,RI,Federalist,14,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,G000427,162,495
James,,Gunn,44,5,GA,Federalist,2,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,G000526,161,495
James,,Hillhouse,43,5,CT,Federalist,3,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,H000618,135,495
John,Sloss,Hobart,59,5,NY,Federalist,10,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,H000661,167,495
John,Eager,Howard,45,5,MD,Federalist,2,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,H000841,136,495
John,,Langdon,56,5,NH,Democratic Republican,8,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,L000067,137,495
Henry,,Latimer,45,5,DE,Federalist,2,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,L000115,151,495
Samuel,,Livermore,65,5,NH,Federalist,1,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,L000364,139,495
Stevens,Thomson,Mason,37,5,VA,Democratic Republican,3,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,M000226,140,495
Elijah,,Paine,40,5,VT,Federalist,1,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,P000026,154,495
Jacob,,Read,45,5,SC,Federalist,2,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,R000092,155,495
James,,Ross,35,5,PA,Federalist,1,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,R000448,156,495
Theodore,,Sedgwick,51,5,MA,Federalist,2,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,S000222,141,495
Josiah,,Tattnall,35,5,GA,Democratic Republican,1,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,T000052,158,495
Henry,,Tazewell,44,5,VA,Anti-Administration,1,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,T000107,142,495
Uriah,,Tracy,42,5,CT,Federalist,3,Cmte on report of Sec of T--lighthouses--Eaton's neck,1798-02-06,T000348,143,495
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,3,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,A000197,163,496
John,,Brown,40,5,KY,Democratic Republican,10,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,B000929,149,496
Theodore,,Foster,45,5,RI,Federalist,1,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,F000313,150,496
James,,Hillhouse,43,5,CT,Federalist,2,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,H000618,135,496
Andrew,,Jackson,30,5,TN,Democratic Republican,1,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,J000005,165,496
John,,Langdon,56,5,NH,Democratic Republican,2,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,L000067,137,496
Henry,,Latimer,45,5,DE,Federalist,1,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,L000115,151,496
Samuel,,Livermore,65,5,NH,Federalist,8,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,L000364,139,496
James,,Lloyd,41,5,MD,Federalist,3,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,L000377,166,496
Humphrey,,Marshall,37,5,KY,Federalist,1,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,M000155,153,496
Stevens,Thomson,Mason,37,5,VA,Democratic Republican,4,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,M000226,140,496
Jacob,,Read,45,5,SC,Federalist,3,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,R000092,155,496
James,,Ross,35,5,PA,Federalist,14,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,R000448,156,496
Theodore,,Sedgwick,51,5,MA,Federalist,1,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,S000222,141,496
Henry,,Tazewell,44,5,VA,Anti-Administration,6,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,T000107,142,496
Uriah,,Tracy,42,5,CT,Federalist,3,cmte on petition of John Edgar and William Morrison inhabitants of IL donation of lands,1798-02-12,T000348,143,496
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,1,Cmte bill Appropriations -- torn,1798-02-16,A000197,163,497
John,,Brown,40,5,KY,Democratic Republican,2,Cmte bill Appropriations -- torn,1798-02-16,B000929,149,497
Theodore,,Foster,45,5,RI,Federalist,1,Cmte bill Appropriations -- torn,1798-02-16,F000313,150,497
Benjamin,,Goodhue,49,5,MA,Federalist,9,Cmte bill Appropriations -- torn,1798-02-16,G000286,134,497
Ray,,Greene,32,5,RI,Federalist,3,Cmte bill Appropriations -- torn,1798-02-16,G000427,162,497
James,,Hillhouse,43,5,CT,Federalist,11,Cmte bill Appropriations -- torn,1798-02-16,H000618,135,497
John,,Langdon,56,5,NH,Democratic Republican,2,Cmte bill Appropriations -- torn,1798-02-16,L000067,137,497
Samuel,,Livermore,65,5,NH,Federalist,7,Cmte bill Appropriations -- torn,1798-02-16,L000364,139,497
James,,Lloyd,41,5,MD,Federalist,1,Cmte bill Appropriations -- torn,1798-02-16,L000377,166,497
Humphrey,,Marshall,37,5,KY,Federalist,3,Cmte bill Appropriations -- torn,1798-02-16,M000155,153,497
Alexander,,Martin,57,5,NC,Anti-Administration,1,Cmte bill Appropriations -- torn,1798-02-16,M000166,152,497
Stevens,Thomson,Mason,37,5,VA,Democratic Republican,3,Cmte bill Appropriations -- torn,1798-02-16,M000226,140,497
Elijah,,Paine,40,5,VT,Federalist,1,Cmte bill Appropriations -- torn,1798-02-16,P000026,154,497
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,3,Cmte on bill AG franking privilege,1798-02-16,A000197,163,498
William,,Bingham,45,5,PA,Federalist,1,Cmte on bill AG franking privilege,1798-02-16,B000474,131,498
Timothy,,Bloodworth,61,5,NC,Democratic Republican,3,Cmte on bill AG franking privilege,1798-02-16,B000563,148,498
John,,Brown,40,5,KY,Democratic Republican,3,Cmte on bill AG franking privilege,1798-02-16,B000929,149,498
Nathaniel,,Chipman,45,5,VT,Federalist,1,Cmte on bill AG franking privilege,1798-02-16,C000369,164,498
Theodore,,Foster,45,5,RI,Federalist,1,Cmte on bill AG franking privilege,1798-02-16,F000313,150,498
Benjamin,,Goodhue,49,5,MA,Federalist,4,Cmte on bill AG franking privilege,1798-02-16,G000286,134,498
Ray,,Greene,32,5,RI,Federalist,2,Cmte on bill AG franking privilege,1798-02-16,G000427,162,498
James,,Gunn,44,5,GA,Federalist,2,Cmte on bill AG franking privilege,1798-02-16,G000526,161,498
James,,Hillhouse,43,5,CT,Federalist,2,Cmte on bill AG franking privilege,1798-02-16,H000618,135,498
John,,Langdon,56,5,NH,Democratic Republican,2,Cmte on bill AG franking privilege,1798-02-16,L000067,137,498
Samuel,,Livermore,65,5,NH,Federalist,6,Cmte on bill AG franking privilege,1798-02-16,L000364,139,498
James,,Lloyd,41,5,MD,Federalist,6,Cmte on bill AG franking privilege,1798-02-16,L000377,166,498
Humphrey,,Marshall,37,5,KY,Federalist,4,Cmte on bill AG franking privilege,1798-02-16,M000155,153,498
Alexander,,Martin,57,5,NC,Anti-Administration,1,Cmte on bill AG franking privilege,1798-02-16,M000166,152,498
Stevens,Thomson,Mason,37,5,VA,Democratic Republican,1,Cmte on bill AG franking privilege,1798-02-16,M000226,140,498
Elijah,,Paine,40,5,VT,Federalist,4,Cmte on bill AG franking privilege,1798-02-16,P000026,154,498
Jacob,,Read,45,5,SC,Federalist,2,Cmte on bill AG franking privilege,1798-02-16,R000092,155,498
Theodore,,Sedgwick,51,5,MA,Federalist,1,Cmte on bill AG franking privilege,1798-02-16,S000222,141,498
Richard,,Stockton,33,5,NJ,Federalist,3,Cmte on bill AG franking privilege,1798-02-16,S000941,147,498
Josiah,,Tattnall,35,5,GA,Democratic Republican,2,Cmte on bill AG franking privilege,1798-02-16,T000052,158,498
Henry,,Tazewell,44,5,VA,Anti-Administration,11,Cmte on bill AG franking privilege,1798-02-16,T000107,142,498
Uriah,,Tracy,42,5,CT,Federalist,2,Cmte on bill AG franking privilege,1798-02-16,T000348,143,498
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,1,cmte on bill William Alexander,1798-02-20,A000197,163,499
William,,Bingham,45,5,PA,Federalist,1,cmte on bill William Alexander,1798-02-20,B000474,131,499
Timothy,,Bloodworth,61,5,NC,Democratic Republican,1,cmte on bill William Alexander,1798-02-20,B000563,148,499
John,,Brown,40,5,KY,Democratic Republican,1,cmte on bill William Alexander,1798-02-20,B000929,149,499
Nathaniel,,Chipman,45,5,VT,Federalist,2,cmte on bill William Alexander,1798-02-20,C000369,164,499
Joshua,,Clayton,53,5,DE,Federalist,8,cmte on bill William Alexander,1798-02-20,C000497,168,499
Benjamin,,Goodhue,49,5,MA,Federalist,2,cmte on bill William Alexander,1798-02-20,G000286,134,499
Ray,,Greene,32,5,RI,Federalist,1,cmte on bill William Alexander,1798-02-20,G000427,162,499
James,,Gunn,44,5,GA,Federalist,4,cmte on bill William Alexander,1798-02-20,G000526,161,499
James,,Hillhouse,43,5,CT,Federalist,2,cmte on bill William Alexander,1798-02-20,H000618,135,499
John,,Langdon,56,5,NH,Democratic Republican,1,cmte on bill William Alexander,1798-02-20,L000067,137,499
Henry,,Latimer,45,5,DE,Federalist,1,cmte on bill William Alexander,1798-02-20,L000115,151,499
Samuel,,Livermore,65,5,NH,Federalist,2,cmte on bill William Alexander,1798-02-20,L000364,139,499
James,,Lloyd,41,5,MD,Federalist,1,cmte on bill William Alexander,1798-02-20,L000377,166,499
Humphrey,,Marshall,37,5,KY,Federalist,1,cmte on bill William Alexander,1798-02-20,M000155,153,499
Alexander,,Martin,57,5,NC,Anti-Administration,3,cmte on bill William Alexander,1798-02-20,M000166,152,499
Stevens,Thomson,Mason,37,5,VA,Democratic Republican,1,cmte on bill William Alexander,1798-02-20,M000226,140,499
Jacob,,Read,45,5,SC,Federalist,3,cmte on bill William Alexander,1798-02-20,R000092,155,499
James,,Ross,35,5,PA,Federalist,12,cmte on bill William Alexander,1798-02-20,R000448,156,499
Richard,,Stockton,33,5,NJ,Federalist,2,cmte on bill William Alexander,1798-02-20,S000941,147,499
Uriah,,Tracy,42,5,CT,Federalist,10,cmte on bill William Alexander,1798-02-20,T000348,143,499
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,1,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,A000197,163,500
John,,Brown,40,5,KY,Democratic Republican,1,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,B000929,149,500
Nathaniel,,Chipman,45,5,VT,Federalist,2,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,C000369,164,500
Ray,,Greene,32,5,RI,Federalist,1,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,G000427,162,500
James,,Hillhouse,43,5,CT,Federalist,1,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,H000618,135,500
John,Sloss,Hobart,59,5,NY,Federalist,2,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,H000661,167,500
John,Eager,Howard,45,5,MD,Federalist,1,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,H000841,136,500
Samuel,,Livermore,65,5,NH,Federalist,16,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,L000364,139,500
Humphrey,,Marshall,37,5,KY,Federalist,1,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,M000155,153,500
Stevens,Thomson,Mason,37,5,VA,Democratic Republican,1,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,M000226,140,500
Elijah,,Paine,40,5,VT,Federalist,1,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,P000026,154,500
Jacob,,Read,45,5,SC,Federalist,7,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,R000092,155,500
James,,Ross,35,5,PA,Federalist,9,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,R000448,156,500
Theodore,,Sedgwick,51,5,MA,Federalist,4,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,S000222,141,500
Richard,,Stockton,33,5,NJ,Federalist,9,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,S000941,147,500
Uriah,,Tracy,42,5,CT,Federalist,3,Cmte--Livermore's motion--mode of conducting impeachment,1798-02-20,T000348,143,500
William,,Bingham,45,5,PA,Federalist,16,cmte on treaty with Tunis,1798-02-21,B000474,131,501
John,,Brown,40,5,KY,Democratic Republican,1,cmte on treaty with Tunis,1798-02-21,B000929,149,501
Nathaniel,,Chipman,45,5,VT,Federalist,1,cmte on treaty with Tunis,1798-02-21,C000369,164,501
Theodore,,Foster,45,5,RI,Federalist,2,cmte on treaty with Tunis,1798-02-21,F000313,150,501
Benjamin,,Goodhue,49,5,MA,Federalist,3,cmte on treaty with Tunis,1798-02-21,G000286,134,501
James,,Gunn,44,5,GA,Federalist,2,cmte on treaty with Tunis,1798-02-21,G000526,161,501
James,,Hillhouse,43,5,CT,Federalist,1,cmte on treaty with Tunis,1798-02-21,H000618,135,501
John,,Langdon,56,5,NH,Democratic Republican,1,cmte on treaty with Tunis,1798-02-21,L000067,137,501
Samuel,,Livermore,65,5,NH,Federalist,3,cmte on treaty with Tunis,1798-02-21,L000364,139,501
James,,Lloyd,41,5,MD,Federalist,2,cmte on treaty with Tunis,1798-02-21,L000377,166,501
Humphrey,,Marshall,37,5,KY,Federalist,4,cmte on treaty with Tunis,1798-02-21,M000155,153,501
Alexander,,Martin,57,5,NC,Anti-Administration,7,cmte on treaty with Tunis,1798-02-21,M000166,152,501
Stevens,Thomson,Mason,37,5,VA,Democratic Republican,5,cmte on treaty with Tunis,1798-02-21,M000226,140,501
Jacob,,Read,45,5,SC,Federalist,11,cmte on treaty with Tunis,1798-02-21,R000092,155,501
James,,Ross,35,5,PA,Federalist,4,cmte on treaty with Tunis,1798-02-21,R000448,156,501
Theodore,,Sedgwick,51,5,MA,Federalist,11,cmte on treaty with Tunis,1798-02-21,S000222,141,501
Richard,,Stockton,33,5,NJ,Federalist,3,cmte on treaty with Tunis,1798-02-21,S000941,147,501
Uriah,,Tracy,42,5,CT,Federalist,4,cmte on treaty with Tunis,1798-02-21,T000348,143,501
Joseph,Inslee,Anderson,40,5,TN,Democratic Republican,4,Cmte bill widow & Orphan,1798-02-26,A000197,163,502
William,,Bingham,45,5,PA,Federalist,2,Cmte bill widow & Orphan,1798-02-26,B000474,131,502
Timothy,,Bloodworth,61,5,NC,Democratic Republican,1,Cmte bill widow & Orphan,1798-02-26,B000563,148,502
John,,Brown,40,5,KY,Democratic Republican,3,Cmte bill widow & Orphan,1798-02-26,B000929,149,502
